ddate,crime_group,count,domestic_count,arrest_count,domestic_rate,arrest_rate,avg_dist,avg_max_dist,avg_cm_area,avg_total_area,avg_cm_len,total_cm_len,avg_pct_housing,avg_pct_below_pvty,avg_pct_unemployed,avg_pct_without_hsd,avg_pct_dependents,avg_per_capita_income,avg_hardship_index
2023-09-04,ASLT,342,109,70,0.31871345029239767,0.2046783625730994,2.178425133530106,26.963204850933394,91.71416508059642,752.0834189314442,45.64145803582748,382.97717684874385,0.05218128654970759,0.251266081871345,0.1697485380116959,0.20337134502923976,0.3515029239766082,25680.28947368421,53.62573099415204
2023-09-04,THFT,254,16,14,0.06299212598425197,0.05511811023622047,2.2608119869334744,26.12361132194708,83.81620335169646,719.9967454274441,44.005447596767375,380.4491464139382,0.04690157480314959,0.21731102362204724,0.13571653543307088,0.17155511811023622,0.30898425196850393,33775.669291338585,40.52755905511811
2023-09-05,ASLT,321,90,62,0.2803738317757009,0.19314641744548286,2.3229370205409516,26.105220349084984,89.35073964822978,754.6019875548579,44.69500719934511,384.72372942176634,0.05285981308411214,0.2521308411214953,0.1678785046728972,0.20847663551401865,0.3484485981308411,25936.542056074766,54.06853582554517
2023-09-05,THFT,328,14,18,0.042682926829268296,0.054878048780487805,2.4048978677620583,26.663223025458787,85.65061526707366,765.6294914551116,44.571289266641834,401.18575339745945,0.04838719512195121,0.21398475609756096,0.1364451219512195,0.18384756097560975,0.3158506097560976,31293.15243902439,42.15548780487805
2023-09-06,ASLT,287,101,50,0.3519163763066202,0.17421602787456447,2.458106444239927,27.199234140732553,90.59359534763733,784.1907557209477,45.420256758713705,401.0952717790798,0.048710801393728215,0.2456689895470383,0.16868989547038327,0.19617770034843204,0.3534773519163763,25389.341463414636,52.41463414634146
2023-09-06,THFT,267,11,24,0.04119850187265917,0.0898876404494382,2.2617016702400736,27.002875743837,83.97751602256675,734.7446581030289,43.928208713497156,387.90141503714153,0.047153558052434444,0.21461048689138576,0.1401947565543071,0.18288389513108613,0.3239213483146067,30587.76404494382,43.352059925093634
2023-09-07,ASLT,303,89,53,0.29372937293729373,0.17491749174917492,2.2878150292271044,26.89577424863474,93.07308660906205,768.3119223911683,45.879110346935235,387.73330446901554,0.05844884488448844,0.25517161716171616,0.1732145214521452,0.2182211221122112,0.3537557755775578,23733.105610561055,56.53465346534654
2023-09-07,THFT,293,15,18,0.051194539249146756,0.06143344709897611,2.1890191999334134,26.644842193982623,87.65890946735013,755.8968464992768,45.093363224659576,393.49263605270716,0.0473310580204778,0.22319112627986346,0.14593174061433445,0.18016382252559726,0.32218088737201367,30879.139931740614,44.57337883959045
2023-09-08,ASLT,298,93,54,0.31208053691275167,0.18120805369127516,2.328981961761874,26.861057170720013,89.8530839106153,767.2520980130882,44.98718094957057,391.229739078701,0.05271476510067113,0.2522953020134228,0.17286577181208052,0.21056040268456375,0.3554328859060403,23910.174496644297,55.19463087248322
2023-09-08,THFT,276,14,24,0.050724637681159424,0.08695652173913043,2.2393060313482094,26.351471810329496,89.43441292833128,745.0418792550413,45.66052276011944,389.132497612317,0.047855072463768106,0.21614492753623188,0.1393768115942029,0.1817608695652174,0.3176123188405797,32427.467391304348,43.14492753623188
